strategy_code,account_type,eligibility
CCOV,BROKERAGE,RESTRICTED
PPRT,BROKERAGE,RESTRICTED
CSPT,BROKERAGE,RESTRICTED
LNG,BROKERAGE,ALLOWED
SPR,BROKERAGE,RESTRICTED
NAK,BROKERAGE,RESTRICTED
IDX,BROKERAGE,RESTRICTED
COL_EQ,BROKERAGE,RESTRICTED
COL_IDX,BROKERAGE,RESTRICTED
CCOV,BROKERAGE RETIREMENT,RESTRICTED
PPRT,BROKERAGE RETIREMENT,RESTRICTED
CSPT,BROKERAGE RETIREMENT,RESTRICTED
LNG,BROKERAGE RETIREMENT,ALLOWED
SPR,BROKERAGE RETIREMENT,NOT_ALLOWED
NAK,BROKERAGE RETIREMENT,NOT_ALLOWED
IDX,BROKERAGE RETIREMENT,RESTRICTED
COL_EQ,BROKERAGE RETIREMENT,RESTRICTED
COL_IDX,BROKERAGE RETIREMENT,NOT_ALLOWED
CCOV,STRATEGIC ADVISOR,RESTRICTED
PPRT,STRATEGIC ADVISOR,RESTRICTED
CSPT,STRATEGIC ADVISOR,RESTRICTED
LNG,STRATEGIC ADVISOR,ALLOWED
SPR,STRATEGIC ADVISOR,RESTRICTED
NAK,STRATEGIC ADVISOR,RESTRICTED
IDX,STRATEGIC ADVISOR,RESTRICTED
COL_EQ,STRATEGIC ADVISOR,RESTRICTED
COL_IDX,STRATEGIC ADVISOR,RESTRICTED
CCOV,PMP,RESTRICTED
PPRT,PMP,RESTRICTED
CSPT,PMP,RESTRICTED
LNG,PMP,NOT_ALLOWED
SPR,PMP,NOT_ALLOWED
NAK,PMP,NOT_ALLOWED
IDX,PMP,NOT_ALLOWED
COL_EQ,PMP,RESTRICTED
COL_IDX,PMP,NOT_ALLOWED
