RecordType,StrategyCode,StrategyName,OptionType,AccountType,RequirementStage,RequirementText,ConditionFlags,Notes,FormulaCode,FormulaTemplate,FormulaVars
MARGIN_RULE,LNG_LE_9M,Long options (<=9 months),Equity; ETF; ETN; narrow-based index; broad-based index; volatility index (listed options),CASH,INITIAL,Must be fully paid (100% premium).,LONG|PAID_IN_FULL|EXP_LE_9M,,F_LONG_PREMIUM_FULL,LongPremiumPaid,LongPremiumPaid
MARGIN_RULE,LNG_LE_9M,Long options (<=9 months),Equity; ETF; ETN; narrow-based index; broad-based index; volatility index (listed options),MARGIN,INITIAL,Must be fully paid (100% premium).,LONG|PAID_IN_FULL|EXP_LE_9M,No additional cash beyond premium cost required.,F_LONG_PREMIUM_FULL,LongPremiumPaid,LongPremiumPaid
MARGIN_RULE,LNG_LE_9M,Long options (<=9 months),Equity; ETF; ETN; narrow-based index; broad-based index; volatility index (listed options),MARGIN,MAINTENANCE,No margin/loan value (margin requirement = 0).,LONG|NO_LOAN_VALUE|EXP_LE_9M,Long options do not provide loan value in a margin account once <= 9 months to expiration.,F_LONG_NO_LOAN_VALUE,0,
MARGIN_RULE,LNG_GT_9M,Long options (>9 months) - cash account,All option types (cash account purchase permitted; margin eligibility limits apply only to margin accounts),CASH,INITIAL,Must be fully paid (100% premium).,LONG|PAID_IN_FULL|EXP_GT_9M,,F_LONG_PREMIUM_FULL,LongPremiumPaid,LongPremiumPaid
MARGIN_RULE,LNG_GT_9M_LISTED,Long options (>9 months) - listed,Equity; ETF; equity-based narrow/broad index; volatility index (listed options only; ETF/index must be equity-based),MARGIN,INITIAL,Initial = 75% of premium (purchase cost).,LONG|LISTED|EXP_GT_9M,Option ceases to have margin value once time to expiry reaches 9 months.,F_LONG_LISTED_GT9M_INIT,0.75*LongPremiumPaid,LongPremiumPaid
MARGIN_RULE,LNG_GT_9M_LISTED,Long options (>9 months) - listed,Equity; ETF; equity-based narrow/broad index; volatility index (listed options only; ETF/index must be equity-based),MARGIN,MAINTENANCE,Maintenance = 75% of current option market value.,LONG|LISTED|EXP_GT_9M|USE_MARKET_VALUE,Option ceases to have margin value once time to expiry reaches 9 months.,F_LONG_LISTED_GT9M_MAINT,0.75*OptionMarketValue,OptionMarketValue
MARGIN_RULE,LNG_GT_9M_OTC,Long options (>9 months) - OTC,Equity; ETF; equity-based narrow/broad index; volatility index (OTC; ETF/index must be equity-based),MARGIN,INITIAL,"Initial = 75% * intrinsic value + 100% * (premium - intrinsic). If intrinsic is 0, must be fully paid.",LONG|OTC|EXP_GT_9M,OTC option must be American-style and guaranteed by carrying broker-dealer. Option ceases to have margin value once time to expiry reaches 9 months.,F_LONG_OTC_GT9M_INIT,"IF(IntrinsicValue=0,LongPremiumPaid,LongPremiumPaid-0.25*IntrinsicValue)",LongPremiumPaid;IntrinsicValue
MARGIN_RULE,LNG_GT_9M_OTC,Long options (>9 months) - OTC,Equity; ETF; equity-based narrow/broad index; volatility index (OTC; ETF/index must be equity-based),MARGIN,MAINTENANCE,Maintenance = 75% * intrinsic value (no loan value otherwise).,LONG|OTC|EXP_GT_9M,OTC option must be American-style and guaranteed by carrying broker-dealer. Option ceases to have margin value once time to expiry reaches 9 months.,F_LONG_OTC_GT9M_MAINT,0.75*IntrinsicValue,IntrinsicValue
MARGIN_RULE,SH_OPT,Short options - equity/narrow/vol,Equity; ETF; ETN tracking a narrow-based index; ETN tracking a broad-based index; narrow-based index; volatility index,CASH,INITIAL,Put: hold cash/cash equivalents = aggregate strike value OR escrow. Call: hold underlying OR escrow.,SHORT|CASH_OR_ESCROW_REQUIRED,Sale proceeds held until deposit made.,F_MANUAL_TEXT,,
MARGIN_RULE,SH_OPT,Short options - equity/narrow/vol,Equity; ETF; ETN tracking a narrow-based index; ETN tracking a broad-based index; narrow-based index; volatility index,MARGIN,INITIAL,"Initial = option proceeds + max( 20%*UnderlyingValue - OTM , Minimum ). Minimum for calls = 10%*UnderlyingValue; minimum for puts = 10%*StrikeValue.",SHORT|FORMULA_20PCT_10PCT,"OTM = out-of-the-money amount. For puts, minimum uses strike value.",F_SHORT_EQ_INIT,"OptionProceeds + MAX((0.20*UnderlyingValue)-OTMValue, IF(IsPut, 0.10*StrikeAggregate, 0.10*UnderlyingValue))",OptionProceeds;UnderlyingValue;OTMValue;IsPut;StrikeAggregate
