archetype,scenario_key,template
CUSTOM,BETWEEN_BOUNDS,"**Scenario overview:** This is a custom structure, so the key takeaway is how P&L changes as price moves."
CUSTOM,UNLIMITED_RISK,**High‑risk zone:** This structure can keep losing money if the stock keeps moving further against you.
STOCK_LONG,BELOW_LOWER_BOUND,**Down move:** Your shares lose value as the stock falls.
STOCK_LONG,BETWEEN_BOUNDS,**Near current level:** Your result is driven mainly by normal day‑to‑day stock movement.
STOCK_LONG,ABOVE_UPPER_BOUND,**Up move:** Your shares gain value as the stock rises.
STOCK_SHORT,BELOW_LOWER_BOUND,**Down move:** A stock decline benefits a short‑stock position (profits grow as price falls).
STOCK_SHORT,BETWEEN_BOUNDS,**Near current level:** Your result is driven mainly by normal day‑to‑day stock movement (in the opposite direction).
STOCK_SHORT,ABOVE_UPPER_BOUND,**Up move (risk):** A stock rally works against a short‑stock position and losses can grow as price rises.
LONG_CALL,BELOW_LOWER_BOUND,"**Premium‑at‑risk:** The stock is below your call strike ({PrimaryStrikeFmt}), so the option’s value is limited unless the stock rebounds."
LONG_CALL,BETWEEN_BOUNDS,"**Decision zone:** Near your call strike ({PrimaryStrikeFmt}), small moves can change the option’s value quickly."
LONG_CALL,ABOVE_UPPER_BOUND,"**Participation zone:** Above your call strike ({PrimaryStrikeFmt}), gains tend to increase as the stock rises."
SHORT_CALL,BELOW_LOWER_BOUND,"**Income zone:** Below your call strike ({PrimaryStrikeFmt}), the call is more likely to expire with limited value."
SHORT_CALL,BETWEEN_BOUNDS,"**Watch zone:** Near/above your call strike ({PrimaryStrikeFmt}), upside gains can be partially offset and risk increases."
SHORT_CALL,UNLIMITED_RISK,"**High‑risk zone:** Above the call strike ({PrimaryStrikeFmt}), losses can continue to grow if the stock keeps rising."
LONG_PUT,ABOVE_UPPER_BOUND,"**Premium‑at‑risk:** The stock is above your put strike ({PrimaryStrikeFmt}), so the option’s value is limited unless the stock falls."
LONG_PUT,BETWEEN_BOUNDS,"**Decision zone:** Near your put strike ({PrimaryStrikeFmt}), downside moves can increase protection quickly."
LONG_PUT,BELOW_LOWER_BOUND,"**Protection working:** Below your put strike ({PrimaryStrikeFmt}), the put is designed to gain value as the stock falls."
SHORT_PUT,ABOVE_UPPER_BOUND,"**Income zone:** Above your put strike ({PrimaryStrikeFmt}), the put is more likely to expire with limited value."
SHORT_PUT,BETWEEN_BOUNDS,"**Watch zone:** Near your put strike ({PrimaryStrikeFmt}), you are closer to being obligated to buy shares at that level."
SHORT_PUT,BELOW_LOWER_BOUND,"**Assignment zone:** Below the put strike ({PrimaryStrikeFmt}), the position behaves more like buying shares at that strike (downside continues below it)."
COVERED_CALL,BELOW_LOWER_BOUND,"**Down move:** The option premium can soften losses, but a large sell‑off still reduces the value of the position."
